2867 85.510916666 -2.129361111 P
2882 85.45775 -1.996472222 P
2886 85.370916666 -1.987027777 P
2897 85.466958333 -1.975583333 P
2900 85.301 -1.965555555 P
2915 85.441791666 -1.948277777 P
2923 85.4705 -1.941555555 P
2926 85.441416666 -1.940583333 P
2934 85.442625 -1.931722222 P
2941 85.434083333 -1.922277777 P
2950 85.4415 -1.917166666 P
2954 85.438041666 -1.913083333 P
2955 85.433708333 -1.912527777 P
2957 85.423375 -1.911194444 P
2958 85.422916666 -1.910888888 P
2961 85.351208333 -1.909083333 P
2970 85.38475 -1.905416666 P
2975 85.431 -1.903361111 P
2981 85.434166666 -1.901361111 P
2989 85.432958333 -1.897583333 P
2991 85.398958333 -1.896666666 P
2996 85.433791666 -1.893638888 P
3005 85.431125 -1.890444444 P
3036 85.412916666 -1.86875 P
3039 85.439083333 -1.865777777 P
3076 85.763 -1.801277777 P
3085 85.307708333 -1.784416666 P
3104 85.808208333 -1.7195 P
3133 85.615333333 -1.333611111 P
3138 85.762666666 -1.274694444 P
3140 85.773791666 -1.265083333 P
3149 85.253166666 -1.152944444 P
3151 85.942958333 -1.078944444 P
3156 86.6505 -0.341444444 P
3159 86.515125 -0.247 P
3160 86.519875 -0.237861111 P
3163 86.530375 -0.223055555 P
3166 86.535791666 -0.177361111 P
3167 86.535416666 -0.167388888 P
3168 86.532666666 -0.166916666 P
3169 86.537166666 -0.165555555 P
3171 86.55625 -0.148694444 P
3175 86.554166666 -0.137444444 P
3180 86.554708333 -0.10125 P
3183 86.559166666 -0.090805555 P
3195 86.638208333 0.0006111111 P
3199 86.693708333 0.0044722222 P
3201 86.698708333 0.0070277777 P
3202 86.695916666 0.0075 P
3203 86.656416666 0.0094444444 P
3208 86.679666666 0.0145833333 P
3211 86.663541666 0.0208055555 P
3215 86.699791666 0.0283333333 P
3232 86.664916666 0.0712777777 P
3268 89.603041666 0.1196666666 P
3277 86.613916666 0.1476944444 P
3311 86.82875 0.2976111111 P
3312 86.756708333 0.2996944444 P
3337 86.714041666 0.3298333333 P
3338 86.618 0.3303888888 P
3341 86.902375 0.3350555555 P
3343 86.882083333 0.3391111111 P
3344 86.885166666 0.3394166666 P
3353 86.821083333 0.3481388888 P
3355 86.845333333 0.3495277777 P
3359 86.794208333 0.3539444444 P
3363 86.702208333 0.3578333333 P
3366 86.769875 0.3619166666 P
3375 86.766583333 0.3695833333 P
3378 86.774416666 0.3774722222 P
3383 86.677 0.3836944444 P
3391 86.729583333 0.3929444444 P
3398 86.738916666 0.3972777777 P
3404 86.473333333 0.42425 P
3408 86.755375 0.4393055555 P
3409 86.754125 0.4395 P
3425 86.987875 0.5909444444 P
3426 86.995958333 0.5924444444 P
3427 86.853041666 0.6264444444 P
3429 86.912416666 0.6434166666 P
3439 86.929125 0.6826388888 P
3460 88.551416666 1.7098611111 P
3462 88.538041666 1.7144444444 P
3464 88.737375 1.7156111111 P
3471 88.724041666 1.7860833333 P
3472 88.634 1.802 P
3473 88.576708333 1.8176111111 P
3474 88.583541666 1.8452222222 P
3514 271.18541666 -4.618333333 F
3521 271.37958333 -4.635833333 F
3535 272.62041666 -2.628333333 F
3605 276.29708333 -2.981388888 P
3606 276.30541666 -2.998333333 F
3619 276.63666666 -3.774166666 F
3637 276.76375 -2.759166666 F
3672 276.90291666 -3.834444444 P
3690 276.95875 -3.820277777 F
3696 276.97791666 -3.710555555 P
3705 277.0225 -3.783055555 P
3752 277.19875 -1.635277777 P
3753 277.19875 -1.637222222 P
3761 277.22833333 -1.624166666 P
3762 277.2325 -1.626111111 P
3763 277.2325 -1.720277777 F
3766 277.23791666 -1.620833333 F
3768 277.24041666 -1.708333333 F
3770 277.24291666 -1.642777777 F
3784 277.2575 -1.650555555 F
3801 277.27208333 -1.698888888 P
3802 277.2725 -3.7125 F
3803 277.27458333 -1.506944444 P
3809 277.28333333 -2.039166666 F
3812 277.28375 -2.093888888 F
3827 277.29625 -2.075 P
3835 277.30333333 -2.063888888 P
